ID,Question,Difficulty,A,B,C,D,Correct Answer
1,What is the main purpose of software engineering?,1,Perform business accounting,Deliver high?quality software,Create marketing campaigns,Manage hardware components,B
2,Which problem best represents the software crisis?,1,Hardware becoming more powerful,Growth of social media,Lower cost of storage devices,Projects delivered late and with defects,D
3,Which activity belongs to the software development lifecycle?,1,Sales reporting,Requirements analysis,Product packaging,Office maintenance,B
4,Software engineering emphasizes:,1,Only graphical design,Only customer support,Spontaneous coding,Systematic processes and quality,D
5,A software project is defined as:,1,A structured effort to build a software system,A financial audit,A routine maintenance task,An HR scheduling activity,A
6,A functional requirement describes:,2,Screen resolution preferences,System behavior or capabilities,Network wiring layout,Tool selection for the office,B
7,Non?functional requirements describe:,2,Keyboard shortcuts,Font style choices,Quality attributes like performance or usability,Employee job titles,C
8,Why is requirements engineering essential?,2,It configures servers automatically,It replaces testing,It ensures clear understanding of system needs,It defines company branding,C
9,Project scope defines:,2,Preferred UI palette,The company’s strategic goals,How many programmers to hire,What the system includes and excludes,D
10,Which activity is part of requirements engineering?,2,Requirements elicitation,Hardware recycling,Team payroll management,Software packaging,A
11,Verification ensures:,3,Correct pricing of the product,User satisfaction only,The product was built correctly,Database storage limits,C
12,Validation ensures:,3,The office layout is correct,The product meets user needs,Keyboard settings are configured,Printers are installed,B
13,What is the main objective of software reviews?,3,Detect issues early and improve quality,Approve employee roles,Handle payroll,Design marketing materials,A
14,Formal reviews focus on:,3,Selecting office furniture,Scheduling lunch breaks,Managing financial risks,Evaluating correctness of work products,D
15,Testing should occur:,3,Only before design,Only after coding,Only before deployment,Throughout the development lifecycle,D
16,Architectural design defines:,4,User profile images,The high?level structure of the system,Marketing slogans,Office network policies,B
17,A software component is:,4,A document template,A network cable,A company policy,A replaceable unit with defined functionality,D
18,Modularity helps because it:,4,Manages company training,Controls hardware prices,Increases screen brightness,Improves maintainability and clarity,D
19,Architectural patterns:,4,Define HR processes,Provide reusable high?level solutions,Generate test data,Create visual themes,B
20,Layered architecture organizes the system:,4,Into responsibility?based levels,By alphabetical filename order,By hardware type,By user age groups,A
